INS_log_size,DEL_log_size
1.301029996,1.72427587
1.301029996,1.397940009
3.159266331,2.004321374
1.380211242,1.62324929
1.301029996,1.462397998
1.301029996,1.301029996
3.351409752,2.136720567
1.544068044,1.505149978
2.494154594,1.544068044
2.53529412,3.366796383
2.625312451,1.397940009
1.62324929,1.301029996
1.447158031,1.491361694
1.531478917,1.477121255
1.851258349,1.838849091
1.397940009,1.568201724
2.5132176,1.447158031
1.342422681,1.568201724
1.681241237,1.491361694
1.770852012,1.462397998
1.491361694,1.991226076
1.301029996,1.447158031
2.281033367,1.361727836
1.342422681,1.672097858
1.944482672,1.380211242
1.505149978,1.301029996
1.301029996,1.431363764
1.954242509,1.491361694
1.414973348,2.309630167
1.380211242,1.342422681
1.462397998,1.322219295
1.447158031,1.591064607
1.662757832,1.477121255
1.380211242,2.045322979
2.826074803,1.431363764
2.068185862,1.397940009
2.041392685,2.222716471
1.361727836,1.342422681
1.477121255,1.579783597
1.568201724,1.361727836
1.462397998,1.301029996
2.614897216,1.77815125
1.662757832,1.51851394
1.361727836,1.643452676
1.579783597,1.301029996
2.459392488,1.447158031
1.505149978,1.949390007
1.568201724,1.716003344
1.301029996,1.380211242
1.397940009,1.361727836
1.380211242,2.549003262
1.322219295,1.505149978
1.591064607,1.591064607
1.591064607,1.653212514
1.342422681,1.380211242
1.79239169,2.328379603
1.301029996,1.568201724
1.301029996,1.698970004
1.556302501,1.755874856
1.653212514,1.568201724
1.447158031,1.397940009
1.662757832,1.491361694
1.397940009,1.579783597
1.414973348,1.544068044
1.380211242,1.591064607
1.447158031,1.505149978
1.380211242,1.322219295
1.447158031,1.447158031
1.892094603,1.924279286
1.491361694,1.62324929
1.612783857,1.491361694
1.447158031,1.579783597
2.064457989,1.681241237
2.495544338,2.501059262
1.491361694,2.532754379
2.100370545,1.763427994
1.491361694,2.240549248
1.361727836,1.612783857
1.397940009,1.361727836
2.474216264,1.62324929
1.633468456,1.505149978
1.301029996,1.755874856
1.740362689,1.322219295
1.568201724,1.633468456
2.394451681,1.531478917
2.507855872,1.531478917
1.414973348,1.986771734
1.322219295,1.322219295
1.602059991,1.414973348
1.380211242,2.181843588
2.167317335,1.716003344
1.602059991,1.397940009
1.380211242,1.322219295
1.491361694,1.397940009
1.505149978,3.003460532
1.380211242,1.579783597
1.322219295,1.602059991
1.380211242,1.579783597
1.301029996,1.322219295
1.579783597,1.602059991
1.447158031,1.447158031
1.431363764,1.397940009
1.380211242,1.949390007
1.531478917,1.431363764
1.491361694,1.568201724
1.342422681,1.397940009
1.72427587,1.903089987
1.361727836,1.301029996
1.322219295,1.73239376
1.322219295,1.414973348
1.342422681,1.602059991
1.447158031,2.195899652
1.477121255,1.322219295
1.602059991,1.397940009
1.462397998,1.431363764
1.812913357,1.51851394
1.477121255,1.322219295
1.929418926,1.748188027
1.342422681,1.556302501
2.041392685,1.431363764
1.342422681,1.86923172
1.62324929,1.342422681
1.505149978,1.602059991
1.447158031,1.380211242
1.414973348,1.380211242
1.397940009,1.505149978
1.342422681,1.462397998
1.505149978,1.301029996
1.301029996,1.301029996
1.322219295,1.431363764
1.380211242,1.397940009
1.892094603,1.77815125
1.414973348,1.602059991
1.612783857,1.380211242
1.62324929,1.322219295
1.505149978,1.819543936
2.527629901,1.755874856
1.934498451,1.361727836
1.716003344,1.79239169
2.46686762,1.431363764
1.342422681,1.322219295
2.340444115,1.322219295
1.602059991,1.698970004
1.939519253,1.531478917
1.51851394,2.736396502
1.505149978,1.851258349
1.380211242,1.477121255
1.919078092,1.612783857
1.380211242,1.301029996
1.361727836,1.301029996
1.342422681,1.531478917
1.447158031,1.301029996
1.322219295,1.579783597
1.301029996,1.342422681
1.740362689,1.397940009
1.707570176,1.653212514
1.380211242,2.133538908
1.602059991,1.477121255
1.342422681,1.716003344
1.301029996,3.11991541
1.579783597,1.995635195
1.301029996,1.462397998
1.544068044,2.361727836
1.431363764,1.397940009
1.380211242,1.322219295
1.380211242,1.477121255
1.447158031,1.301029996
1.361727836,1.414973348
1.361727836,1.491361694
1.579783597,1.633468456
2.155336037,1.447158031
1.544068044,1.672097858
1.301029996,1.447158031
1.491361694,1.505149978
2.810904281,1.86332286
1.579783597,1.447158031
1.301029996,1.602059991
1.342422681,1.602059991
1.477121255,2
2.484299839,1.579783597
1.414973348,1.447158031
1.380211242,1.361727836
1.477121255,1.431363764
1.982271233,1.322219295
1.301029996,1.447158031
1.681241237,1.72427587
1.380211242,1.991226076
1.342422681,2.08278537
1.556302501,1.763427994
2.139879086,1.698970004
1.414973348,1.301029996
1.301029996,1.361727836
1.643452676,1.431363764
1.380211242,1.462397998
1.431363764,1.431363764
2.399673721,1.602059991
1.380211242,1.770852012
2.123851641,1.579783597
1.505149978,1.748188027
1.973127854,1.361727836
1.397940009,1.361727836
1.342422681,1.612783857
1.322219295,1.602059991
1.361727836,1.602059991
1.322219295,1.380211242
1.301029996,1.361727836
1.698970004,1.602059991
1.342422681,1.462397998
1.342422681,1.380211242
1.414973348,1.322219295
1.301029996,1.301029996
1.301029996,1.301029996
1.301029996,1.672097858
1.301029996,1.602059991
1.301029996,2.416640507
1.681241237,1.361727836
1.322219295,3.07773118
3.290924559,1.477121255
2.06069784,1.707570176
1.380211242,1.51851394
1.322219295,1.322219295
1.447158031,1.568201724
1.342422681,1.361727836
3.032215703,1.431363764
1.477121255,1.361727836
1.51851394,1.380211242
1.51851394,1.602059991
1.301029996,1.763427994
1.342422681,1.505149978
1.447158031,1.51851394
1.602059991,1.414973348
1.380211242,1.322219295
1.447158031,1.301029996
1.531478917,1.857332496
1.301029996,1.397940009
1.380211242,1.913813852
1.602059991,1.380211242
1.431363764,2.079181246
1.51851394,1.342422681
1.785329835,1.69019608
1.301029996,1.505149978
1.380211242,1.69019608
1.977723605,1.342422681
1.301029996,1.397940009
1.380211242,2.867467488
2.919601024,1.505149978
1.380211242,1.380211242
1.301029996,1.579783597
1.342422681,1.968482949
1.579783597,1.740362689
1.447158031,1.51851394
2.041392685,1.380211242
1.397940009,1.531478917
1.380211242,1.447158031
1.301029996,1.633468456
1.414973348,1.322219295
1.477121255,1.447158031
1.447158031,1.51851394
1.447158031,2.190331698
1.949390007,1.672097858
1.447158031,1.755874856
1.361727836,1.342422681
1.301029996,1.301029996
1.755874856,1.301029996
1.380211242,1.73239376
1.342422681,1.903089987
1.380211242,1.342422681
1.301029996,1.544068044
1.51851394,1.380211242
1.301029996,1.431363764
2.505149978,1.662757832
2.193124598,1.322219295
1.322219295,1.748188027
1.447158031,1.62324929
1.591064607,2.984527313
2.485721426,1.361727836
1.51851394,1.477121255
1.447158031,1.342422681
1.544068044,1.556302501
1.556302501,1.505149978
1.342422681,1.397940009
2.706717782,1.361727836
1.447158031,1.322219295
1.361727836,2.63748973
1.431363764,2.33243846
1.913813852,2.133538908
1.556302501,1.380211242
1.447158031,1.301029996
1.477121255,1.414973348
1.832508913,1.380211242
1.477121255,1.397940009
1.301029996,1.477121255
2.23299611,1.982271233
1.612783857,1.447158031
1.62324929,1.491361694
1.462397998,2.130333769
1.414973348,1.653212514
1.301029996,1.397940009
1.380211242,1.568201724
3.345569756,1.531478917
2.247973266,1.462397998
1.322219295,1.322219295
1.51851394,1.491361694
1.653212514,1.301029996
1.322219295,1.886490725
1.77815125,1.662757832
1.361727836,1.991226076
1.414973348,1.414973348
1.342422681,1.301029996
1.447158031,1.447158031
1.799340549,2.220108088
1.342422681,1.643452676
1.342422681,1.397940009
1.342422681,1.698970004
1.531478917,1.491361694
1.544068044,1.342422681
1.643452676,1.653212514
1.556302501,1.633468456
1.342422681,1.342422681
1.301029996,1.322219295
1.414973348,1.755874856
1.397940009,1.612783857
1.462397998,1.643452676
1.301029996,1.707570176
1.477121255,1.568201724
1.414973348,1.342422681
1.380211242,1.62324929
1.414973348,1.602059991
1.414973348,1.633468456
1.301029996,1.602059991
1.875061263,2.096910013
1.556302501,1.431363764
1.568201724,1.602059991
1.361727836,1.838849091
1.431363764,1.380211242
1.301029996,1.342422681
1.491361694,1.477121255
1.556302501,1.361727836
1.477121255,1.447158031
1.380211242,1.544068044
1.322219295,1.342422681
1.447158031,1.414973348
1.591064607,1.431363764
2.741151599,1.414973348
1.462397998,1.799340549
1.380211242,1.361727836
1.977723605,2.644438589
1.342422681,1.812913357
1.851258349,1.397940009
2.485721426,1.633468456
1.322219295,1.531478917
1.301029996,1.531478917
2.305351369,1.986771734
1.799340549,1.322219295
2.021189299,1.414973348
2.298853076,2.181843588
1.414973348,1.716003344
1.380211242,1.397940009
2.06069784,1.322219295
1.301029996,1.397940009
2.808210973,3.003460532
1.380211242,1.579783597
1.531478917,1.602059991
1.322219295,1.579783597
1.414973348,1.322219295
1.322219295,1.602059991
1.380211242,1.447158031
1.591064607,1.397940009
1.591064607,1.949390007
1.602059991,1.431363764
2.164352856,1.568201724
1.51851394,1.397940009
1.491361694,1.903089987
1.477121255,1.301029996
2.556302501,1.73239376
2.88592634,1.414973348
1.301029996,1.602059991
1.397940009,2.195899652
1.301029996,1.322219295
1.397940009,1.397940009
2.561101384,1.431363764
1.477121255,1.51851394
2.068185862,1.322219295
2.56937391,1.748188027
1.51851394,1.556302501
1.342422681,1.431363764
1.544068044,1.86923172
1.579783597,1.342422681
2.158362492,1.602059991
1.77815125,1.380211242
1.681241237,1.380211242
1.531478917,1.505149978
1.602059991,1.462397998
1.602059991,1.301029996
1.505149978,1.301029996
2.645422269,1.431363764
1.414973348,1.397940009
1.505149978,1.77815125
1.602059991,1.602059991
1.322219295,1.380211242
1.322219295,1.322219295
2.017033339,1.819543936
1.397940009,1.755874856
1.826074803,1.361727836
3.780749231,1.79239169
1.556302501,1.431363764
1.380211242,1.322219295
1.447158031,1.322219295
2.31386722,1.698970004
1.380211242,1.531478917
1.944482672,2.736396502
1.716003344,1.851258349
1.556302501,1.477121255
1.477121255,1.612783857
1.380211242,1.301029996
1.86332286,1.301029996
1.380211242,1.531478917
1.875061263,1.301029996
3.610340711,1.579783597
1.505149978,1.342422681
1.491361694,1.397940009
1.380211242,1.653212514
1.447158031,2.133538908
1.447158031,1.477121255
2.475671188,1.716003344
1.431363764,3.11991541
1.380211242,1.995635195
1.462397998,1.462397998
1.662757832,2.361727836
2.459392488,1.397940009
2.503790683,1.322219295
1.301029996,1.477121255
1.301029996,1.301029996
2.103803721,1.414973348
1.342422681,1.491361694
1.397940009,1.633468456
2.709269961,1.447158031
1.51851394,1.672097858
1.477121255,1.447158031
1.505149978,1.505149978
2.243038049,1.86332286
1.397940009,1.447158031
1.380211242,1.602059991
1.322219295,1.602059991
1.579783597,2
1.414973348,1.579783597
1.62324929,1.447158031
1.342422681,1.361727836
1.342422681,1.431363764
1.73239376,1.322219295
2.250420002,1.447158031
2.387389826,1.72427587
1.69019608,1.991226076
1.977723605,2.08278537
1.431363764,1.763427994
1.568201724,1.698970004
1.301029996,1.301029996
1.414973348,1.361727836
1.380211242,1.431363764
1.342422681,1.462397998
1.361727836,1.431363764
3.417471693,1.602059991
2.525044807,1.770852012
2.456366033,1.579783597
2.465382851,1.748188027
1.544068044,1.361727836
1.568201724,1.361727836
1.579783597,1.612783857
1.447158031,1.602059991
1.342422681,1.602059991
1.301029996,1.380211242
1.643452676,1.361727836
1.301029996,1.602059991
1.361727836,1.462397998
1.977723605,1.380211242
3.451786436,1.322219295
1.505149978,1.301029996
1.361727836,1.301029996
1.857332496,1.672097858
1.414973348,1.602059991
1.397940009,2.416640507
1.602059991,1.361727836
1.79239169,3.07773118
1.322219295,1.477121255
2.307496038,1.707570176
1.462397998,1.51851394
1.785329835,1.322219295
1.447158031,1.568201724
1.544068044,1.361727836
2.525044807,1.431363764
1.505149978,1.361727836
1.397940009,1.380211242
1.380211242,1.602059991
1.477121255,1.763427994
1.322219295,1.505149978
1.491361694,1.51851394
1.477121255,1.414973348
1.361727836,1.322219295
1.954242509,1.301029996
2.588831726,1.857332496
1.505149978,1.397940009
2.797267541,1.913813852
1.505149978,1.380211242
1.342422681,2.079181246
1.301029996,1.342422681
1.361727836,1.69019608
1.826074803,1.505149978
1.414973348,1.69019608
2.396199347,1.342422681
1.903089987,1.397940009
1.322219295,2.867467488
2.324282455,1.505149978
1.579783597,1.380211242
1.447158031,1.579783597
2.075546961,1.968482949
2.469822016,1.740362689
1.397940009,1.51851394
1.397940009,1.380211242
1.397940009,1.531478917
1.361727836,1.447158031
1.380211242,1.633468456
1.477121255,1.322219295
2.793790385,1.447158031
1.959041392,1.51851394
1.477121255,2.190331698
1.462397998,1.672097858
1.491361694,1.755874856
1.414973348,1.342422681
1.447158031,1.301029996
1.301029996,1.301029996
1.322219295,1.73239376
2.068185862,1.903089987
1.301029996,1.342422681
1.342422681,1.544068044
1.322219295,1.380211242
1.322219295,1.431363764
2.357934847,1.662757832
1.477121255,1.322219295
1.505149978,1.748188027
1.322219295,1.62324929
1.477121255,2.984527313
1.643452676,1.361727836
1.322219295,1.477121255
1.531478917,1.342422681
1.322219295,1.556302501
1.447158031,1.505149978
1.62324929,1.397940009
1.301029996,1.361727836
1.397940009,1.322219295
1.447158031,2.63748973
1.531478917,2.33243846
1.612783857,2.133538908
1.322219295,1.380211242
1.414973348,1.301029996
1.568201724,1.414973348
1.963787827,1.380211242
1.301029996,1.397940009
1.322219295,1.477121255
1.322219295,1.982271233
1.414973348,1.447158031
1.447158031,1.491361694
1.477121255,2.130333769
1.447158031,1.653212514
1.447158031,1.397940009
1.301029996,1.568201724
1.477121255,1.531478917
1.322219295,1.462397998
1.505149978,1.322219295
1.361727836,1.491361694
1.301029996,1.301029996
1.361727836,1.886490725
1.322219295,1.662757832
1.602059991,1.991226076
1.556302501,1.414973348
1.380211242,1.301029996
1.361727836,1.447158031
1.591064607,2.220108088
1.462397998,1.643452676
1.380211242,1.397940009
1.380211242,1.698970004
1.86923172,1.491361694
1.301029996,1.342422681
1.380211242,1.653212514
2.06069784,1.633468456
1.322219295,1.342422681
1.301029996,1.322219295
1.505149978,1.755874856
1.397940009,1.612783857
1.505149978,1.643452676
1.380211242,1.707570176
1.477121255,1.568201724
2.161368002,1.342422681
1.591064607,1.62324929
1.763427994,1.602059991
2.096910013,1.633468456
1.342422681,1.602059991
1.301029996,2.096910013
2.424881637,1.431363764
2.155336037,1.602059991
1.633468456,1.838849091
1.342422681,1.380211242
1.301029996,1.342422681
1.579783597,1.477121255
1.301029996,1.361727836
1.447158031,1.447158031
1.301029996,1.544068044
1.491361694,1.342422681
1.322219295,1.414973348
1.477121255,1.431363764
1.301029996,1.414973348
1.477121255,1.799340549
1.477121255,1.361727836
1.380211242,2.644438589
1.462397998,1.812913357
1.62324929,1.397940009
1.414973348,1.322219295
1.785329835,1.431363764
1.431363764,1.531478917
2.271841607,1.322219295
1.322219295,1.462397998
1.380211242,2.921166051
1.342422681,1.397940009
1.380211242,2.10720997
1.380211242,1.447158031
1.397940009,1.51851394
1.342422681,1.531478917
1.342422681,1.462397998
1.477121255,1.431363764
1.447158031,1.322219295
1.380211242,1.361727836
1.342422681,1.342422681
1.380211242,1.380211242
1.414973348,1.397940009
2.004321374,2.217483944
1.380211242,1.505149978
1.397940009,1.301029996
2.037426498,1.361727836
1.342422681,1.361727836
1.380211242,1.447158031
1.431363764,1.301029996
1.77815125,2.053078443
1.903089987,1.579783597
1.342422681,1.748188027
1.505149978,1.963787827
1.380211242,1.875061263
1.643452676,1.361727836
2.456366033,1.447158031
1.397940009,1.838849091
1.342422681,1.892094603
1.397940009,1.633468456
2,1.51851394
1.361727836,1.903089987
1.342422681,2.587710965
1.342422681,1.491361694
1.892094603,1.812913357
1.62324929,2.46686762
1.301029996,1.342422681
1.301029996,2.605305046
2.530199698,2.472756449
1.72427587,2.161368002
2.238046103,1.556302501
1.322219295,2.008600172
1.447158031,1.447158031
2.918554531,1.612783857
1.531478917,1.568201724
1.380211242,1.447158031
1.414973348,1.462397998
1.819543936,1.342422681
1.322219295,1.544068044
1.380211242,1.462397998
1.707570176,1.51851394
1.505149978,1.342422681
1.322219295,1.414973348
1.897627091,1.477121255
2,1.531478917
1.342422681,1.342422681
1.414973348,1.612783857
1.447158031,1.568201724
1.397940009,1.301029996
1.301029996,1.301029996
1.380211242,1.431363764
1.301029996,1.431363764
1.414973348,1.414973348
1.414973348,2.133538908
1.342422681,1.799340549
3.088844563,1.531478917
1.301029996,1.431363764
1.602059991,1.414973348
1.462397998,1.322219295
1.716003344,1.447158031
1.477121255,1.301029996
1.672097858,1.380211242
2.385606274,1.51851394
1.447158031,1.322219295
1.591064607,1.799340549
1.380211242,1.447158031
1.653212514,1.77815125
1.477121255,1.397940009
2.404833717,1.491361694
2.46686762,1.322219295
1.505149978,1.491361694
1.447158031,1.568201724
1.380211242,2
1.322219295,1.462397998
1.491361694,1.301029996
1.77815125,1.342422681
1.602059991,1.447158031
1.491361694,1.544068044
1.301029996,1.959041392
2.214843848,1.531478917
2.29666519,2.334453751
1.380211242,1.556302501
1.447158031,1.414973348
1.414973348,2.100370545
1.380211242,1.342422681
2.828015064,1.431363764
1.568201724,1.51851394
2.773786445,2.041392685
1.602059991,1.939519253
1.62324929,1.322219295
1.342422681,1.763427994
1.342422681,1.462397998
1.301029996,1.322219295
1.447158031,1.342422681
1.477121255,1.301029996
1.322219295,1.342422681
1.681241237,2.869818208
1.544068044,1.880813592
1.380211242,2.436162647
2.50242712,1.447158031
1.301029996,1.748188027
2.463892989,1.414973348
1.531478917,1.556302501
2.444044796,1.857332496
1.322219295,1.322219295
1.301029996,1.579783597
1.301029996,2.049218023
1.755874856,1.462397998
1.477121255,1.939519253
1.380211242,2.328379603
2.472756449,1.748188027
2.45484486,1.544068044
1.591064607,1.322219295
1.544068044,1.301029996
1.477121255,1.748188027
1.462397998,1.462397998
1.322219295,1.361727836
1.361727836,1.322219295
1.397940009,1.397940009
1.342422681,1.707570176
1.838849091,1.431363764
1.397940009,1.397940009
1.531478917,1.477121255
1.414973348,1.832508913
1.301029996,1.505149978
1.944482672,1.301029996
1.462397998,1.643452676
1.477121255,2.365487985
1.380211242,1.361727836
1.322219295,1.913813852
2.609594409,1.579783597
1.740362689,1.977723605
1.602059991,1.301029996
1.414973348,1.397940009
1.301029996,1.838849091
1.531478917,1.544068044
2.045322979,2.526339277
1.301029996,2.187520721
2.46834733,1.361727836
2.190331698,1.84509804
1.301029996,3.62572391
1.662757832,1.51851394
1.301029996,1.380211242
1.380211242,1.397940009
1.380211242,1.477121255
3.707655324,1.301029996
1.447158031,1.380211242
1.447158031,1.892094603
1.342422681,1.986771734
1.361727836,1.301029996
1.431363764,1.342422681
1.462397998,2.209515015
2.139879086,1.397940009
2.214843848,1.62324929
1.301029996,1.505149978
1.447158031,1.612783857
1.342422681,1.544068044
1.431363764,2.041392685
1.380211242,1.301029996
1.342422681,1.973127854
1.462397998,2.481442629
1.477121255,1.342422681
1.342422681,1.380211242
1.322219295,1.361727836
1.380211242,1.51851394
1.301029996,1.681241237
1.380211242,1.380211242
1.612783857,1.342422681
1.380211242,1.602059991
1.812913357,1.653212514
1.977723605,1.462397998
1.380211242,1.681241237
1.380211242,1.301029996
1.322219295,1.851258349
1.397940009,1.322219295
1.79239169,1.591064607
1.579783597,1.51851394
1.397940009,1.447158031
1.342422681,1.301029996
1.397940009,2.045322979
1.380211242,1.612783857
1.447158031,2.29666519
1.380211242,1.301029996
1.939519253,2.033423755
1.301029996,1.51851394
1.361727836,1.531478917
3.308777774,1.322219295
1.447158031,1.301029996
1.380211242,2.064457989
1.568201724,1.397940009
1.380211242,1.380211242
1.806179974,2.561101384
1.397940009,1.397940009
1.892094603,1.342422681
1.662757832,1.397940009
1.414973348,1.602059991
1.301029996,1.505149978
1.84509804,1.544068044
1.51851394,1.477121255
1.832508913,1.491361694
1.505149978,2.740362689
1.301029996,1.643452676
1.826074803,1.322219295
1.51851394,1.755874856
1.301029996,1.431363764
1.982271233,1.491361694
1.544068044,1.591064607
1.301029996,1.69019608
1.322219295,1.491361694
1.397940009,1.806179974
1.579783597,1.462397998
1.477121255,1.361727836
1.380211242,1.322219295
1.342422681,1.544068044
1.447158031,1.380211242
1.414973348,1.698970004
2.941014244,2.012837225
1.707570176,1.380211242
1.301029996,1.397940009
1.342422681,1.380211242
1.954242509,1.51851394
1.301029996,1.633468456
1.380211242,1.949390007
1.361727836,1.431363764
1.342422681,1.51851394
1.491361694,1.62324929
1.322219295,1.591064607
1.414973348,1.929418926
2.127104798,1.748188027
1.361727836,1.643452676
1.491361694,2.285557309
1.301029996,2.235528447
1.301029996,2.328379603
1.579783597,1.716003344
1.301029996,1.397940009
1.447158031,2.079181246
1.447158031,1.491361694
1.322219295,1.491361694
1.397940009,2.06069784
1.698970004,2.204119983
1.342422681,1.770852012
1.414973348,1.662757832
1.505149978,1.556302501
1.342422681,1.322219295
1.556302501,1.812913357
1.447158031,1.361727836
1.361727836,1.322219295
1.301029996,1.69019608
1.681241237,1.913813852
2.155336037,1.361727836
1.301029996,1.397940009
1.414973348,1.447158031
1.361727836,1.342422681
2.190331698,2.884795364
2.509202522,1.342422681
1.380211242,1.880813592
1.681241237,1.397940009
1.477121255,1.591064607
3.100715087,1.301029996
1.301029996,2.11058971
1.531478917,1.397940009
1.462397998,1.851258349
1.380211242,1.447158031
2.499687083,1.397940009
1.672097858,2.761927838
1.342422681,2.053078443
1.531478917,1.342422681
2.50242712,1.301029996
1.414973348,1.653212514
1.301029996,1.342422681
1.838849091,1.568201724
1.72427587,1.342422681
1.380211242,1.62324929
1.431363764,1.556302501
1.322219295,1.361727836
1.301029996,1.477121255
1.361727836,1.491361694
1.505149978,1.505149978
1.707570176,2.056904851
1.556302501,1.361727836
1.698970004,1.84509804
1.875061263,1.397940009
1.556302501,1.531478917
1.414973348,1.556302501
1.301029996,1.361727836
1.342422681,1.431363764
1.301029996,1.431363764
1.322219295,1.361727836
1.322219295,1.342422681
1.770852012,1.681241237
1.380211242,1.672097858
1.361727836,1.556302501
1.397940009,1.414973348
1.477121255,1.491361694
1.602059991,1.662757832
2.534026106,1.903089987
1.301029996,1.462397998
1.380211242,1.477121255
1.380211242,1.69019608
1.477121255,1.462397998
1.301029996,1.716003344
1.301029996,2.604226053
1.86923172,1.301029996
1.301029996,2.31386722
1.380211242,1.342422681
1.431363764,1.662757832
1.431363764,1.73239376
1.477121255,1.73239376
1.544068044,1.568201724
1.301029996,1.322219295
1.301029996,1.431363764
1.414973348,1.361727836
2.857332496,1.531478917
1.361727836,1.491361694
1.361727836,1.568201724
1.748188027,2.40654018
1.77815125,1.462397998
1.462397998,1.716003344
1.633468456,1.51851394
2.463892989,1.322219295
1.414973348,1.397940009
1.380211242,1.414973348
1.397940009,1.322219295
1.431363764,1.431363764
1.380211242,1.963787827
1.414973348,1.447158031
1.414973348,1.462397998
2.672097858,1.531478917
1.913813852,1.431363764
1.380211242,1.838849091
1.414973348,1.643452676
1.380211242,1.380211242
1.462397998,1.361727836
1.342422681,2.176091259
1.819543936,1.477121255
1.342422681,2.606381365
1.959041392,1.954242509
1.380211242,1.653212514
1.477121255,1.612783857
2.11058971,1.431363764
1.380211242,1.397940009
1.301029996,1.857332496
1.447158031,1.633468456
1.380211242,1.397940009
1.568201724,1.301029996
2.198657087,3.068185862
1.431363764,1.301029996
1.908485019,1.380211242
1.361727836,1.380211242
1.602059991,1.568201724
3.016615548,1.748188027
1.397940009,1.806179974
1.361727836,1.380211242
1.477121255,1.322219295
2.459392488,1.414973348
1.591064607,1.643452676
1.380211242,1.556302501
1.812913357,1.414973348
1.301029996,1.431363764
1.69019608,1.397940009
1.447158031,1.707570176
1.963787827,1.380211242
1.897627091,1.77815125
1.322219295,1.51851394
2.220108088,1.77815125
1.556302501,1.431363764
1.602059991,1.397940009
1.301029996,1.447158031
2.871572936,1.431363764
1.653212514,1.397940009
