x,y,size_bin,300x_bin,TR_cnt_bin,clusterLabel,PC-1,Size
1.9834951029370167,1.4115521181019397,20-49,100-250,0-1,11,192,21
3.3875042008039697,-4.607475304582113,20-49,100-250,,54,165,38
-7.763481140564746,-4.881662613739285,20-49,50-100,0-1,34,66,21
13.870382838115857,0.6350937546528022,20-49,100-250,0-1,12,172,34
7.983612078469867,3.030668503687324,300-399,250-500,0-1,7,500,330
6.676616900611582,4.128016704720822,300-399,500-1000,0-1,7,505,319
-9.858788367281592,-1.2018623626643559,300-399,100-250,0-1,-1,103,334
6.46664547211227,3.9928041867145763,300-399,250-500,1-2,7,489,330
-9.446732371100985,1.4093505704141172,6000+,100-250,5-10,13,250,6050
4.73175752660679,6.243495775928056,,0-50,0-1,-1,1,20
-6.812633510025669,8.13956271398063,20-49,250-500,,14,339,28
-0.19726725289506022,-13.195214034684899,300-399,100-250,0-1,53,125,312
-10.344873166541626,-8.019810877588707,20-49,50-100,0-1,-1,95,26
1.0606432351002688,0.6654163965898187,50-99,100-250,0-1,15,187,52
1.9537801065462002,14.988769932530557,1000-5999,,3-4,28,0,1476
7.79161507207923,1.6262560488344442,300-399,250-500,0-1,38,471,320
-8.823248535312578,-12.48320879548276,20-49,100-250,,6,142,23
8.865919658246177,-11.325568862942385,,50-100,0-1,-1,90,20
8.96638356485479,-4.932466318986022,300-399,250-500,0-1,16,283,324
8.966383614547992,-4.932466299532961,300-399,250-500,0-1,16,283,324
4.673015873106041,14.331514267922845,1000-5999,,4-5,17,0,4722
8.100326310260344,-10.105516591448431,20-49,100-250,0-1,2,137,34
14.268114869640282,0.4098516386450582,100-299,100-250,0-1,12,178,163
8.71584054493667,-9.56672916643049,100-299,100-250,1-2,-1,237,260
-0.14198490529592486,7.479781769271047,300-399,0-50,,10,13,313
2.317774667143309,11.022764041755558,20-49,0-50,,10,1,25
7.422265568679557,-10.197860387939748,100-299,100-250,1-2,2,101,183
6.928713733493722,-8.46505516266127,20-49,50-100,0-1,59,64,35
8.230449278239075,-10.106462432981607,20-49,50-100,0-1,2,69,22
-10.478529448192267,-5.481723531058507,,50-100,0-1,4,61,20
-9.999220441372861,-9.401260109130275,50-99,100-250,,-1,209,80
-8.345671427643431,-2.891889989791951,20-49,100-250,0-1,18,137,36
-2.305348472785163,-8.184441004914767,20-49,0-50,0-1,-1,30,46
9.21412799602604,-10.263365548306446,20-49,50-100,,-1,80,21
-3.730418952598218,7.111680750488251,100-299,0-50,0-1,19,39,141
3.8925115573574165,-6.314140105962265,50-99,50-100,0-1,-1,69,72
-9.206882466235326,-4.704417095189555,20-49,100-250,,34,126,24
2.3615942603756572,11.083692427051435,20-49,0-50,,10,1,30
2.061432667971318,6.553927254234567,100-299,0-50,0-1,20,6,235
2.0863134323056456,10.816774076376854,20-49,0-50,,10,1,22
6.629016421905046,3.035491404042857,300-399,500-1000,1-2,7,522,310
-4.463195319759159,16.106658735219405,20-49,,,0,0,34
15.603986369753272,0.842214178202334,20-49,100-250,,-1,128,21
1.6751324750912344,2.4316217671662987,20-49,100-250,0-1,21,148,27
-5.629939976232455,-1.0987851457657412,50-99,0-50,0-1,22,6,56
-10.399577265694358,-5.60223874160085,50-99,0-50,0-1,4,40,83
7.546583805723093,-3.227707855276511,20-49,1000-5000,20-50,-1,1213,23
-0.8257101837965866,8.046102061068625,100-299,0-50,0-1,10,2,116
2.925771965444853,-2.95279496284642,20-49,100-250,0-1,23,131,40
1.2956333375800182,-7.210782727791161,20-49,100-250,1-2,24,162,50
7.775871242096845,2.922085861056068,400-499,500-1000,2-3,7,525,498
9.30664103849888,-1.8270640439106323,,0-50,0-1,-1,32,20
5.768303011476669,-13.049130748743424,20-49,50-100,0-1,2,85,47
2.5169004929393513,-2.289300081431973,20-49,100-250,0-1,23,137,34
-11.24640741984234,-0.9467404323095703,300-399,100-250,0-1,25,226,310
-9.344035319224657,-11.288566834045199,20-49,100-250,,6,109,28
-6.1410086376947595,-5.744189960819386,20-49,50-100,0-1,3,88,44
-13.065899458772696,-3.883856388765449,,50-100,0-1,4,96,20
14.174671126301837,1.9699932244046725,20-49,100-250,,12,146,23
-7.812415493163404,-10.590961382480995,20-49,50-100,0-1,6,100,21
-9.826470893606732,-11.53673683764719,20-49,100-250,,6,121,38
0.6958856426158153,-8.413819319145784,20-49,100-250,0-1,24,110,34
-10.312071892715744,-9.101532751447031,400-499,100-250,0-1,-1,194,470
7.228874244769959,6.2440724452610326,1000-5999,250-500,5-10,1,399,1514
-2.3610171501428225,-3.2726595495748767,,100-250,,-1,176,20
0.2136132884338714,15.91794664052633,400-499,,2-3,28,0,415
-13.608001770930528,-7.195394437087242,,50-100,,4,98,20
5.589539274399835,1.980804339890848,100-299,250-500,0-1,7,396,293
6.483313021655866,4.2762773772140505,300-399,250-500,0-1,7,411,319
-2.8839103436016127,14.876972938234488,100-299,,0-1,0,0,115
5.291830929848507,-13.094640647282903,20-49,100-250,0-1,2,125,23
-7.4337223909027195,8.22531468068985,20-49,250-500,0-1,14,266,21
1.734505252815167,-6.35953336946825,,100-250,0-1,24,192,20
-4.525327063284166,0.9274122118047675,20-49,0-50,1-2,26,2,23
-0.11113975463108547,7.999551242771212,300-399,0-50,0-1,10,15,352
-13.253300267667317,3.907368458010713,100-299,250-500,,8,337,218
-7.543465915428005,-10.72972254780256,20-49,100-250,0-1,6,123,22
-2.1591006937241435,-5.695571165774651,20-49,0-50,0-1,27,27,28
-11.089645289479,-3.046245368606038,20-49,50-100,0-1,4,78,21
-8.655850229023148,-4.644395940217089,20-49,100-250,0-1,-1,112,21
-13.391250121839517,-7.206312144148839,20-49,100-250,,4,105,22
-13.36524275905815,-7.197948167150555,20-49,100-250,,4,105,22
-9.433741964521,-11.967279006480751,20-49,100-250,0-1,6,180,39
-9.509073146786953,-11.946398276600492,20-49,100-250,0-1,6,180,39
12.839716328096985,0.3852004905717978,20-49,50-100,0-1,12,76,29
7.827298049863328,6.826951845667391,1000-5999,500-1000,10-20,1,580,2534
7.796685895846387,6.806118679772228,1000-5999,500-1000,10-20,1,580,2534
-6.668666359087802,8.04097078732541,20-49,100-250,0-1,14,236,50
7.381391702254677,6.549217034784465,1000-5999,250-500,0-1,1,470,2225
-3.7353176366526295,14.875011434201014,20-49,,0-1,0,0,24
-1.482801204922194,1.8296251078758166,20-49,100-250,0-1,47,219,23
0.2701812568609637,15.616455049703106,50-99,,,28,0,60
3.961159278313477,-3.920776807077459,20-49,100-250,0-1,23,154,47
-2.7676656841852956,5.0619793302443155,50-99,50-100,,-1,78,68
6.737040077398372,-9.89748774855744,,0-50,0-1,2,37,20
0.030081061302197926,5.945599371373174,100-299,0-50,,35,30,243
-12.069472016476336,-4.85740365564258,50-99,50-100,,4,84,55
-9.884486489368488,5.078157944308045,100-299,,3-4,29,0,134
-6.577741914747111,-2.1673482860693714,50-99,0-50,0-1,-1,5,67
0.07225418504571801,-1.5098284070688528,100-299,0-50,0-1,-1,8,120
0.771329764796422,15.253258917967692,100-299,,0-1,28,0,118
-0.3995161347951571,6.499733032843535,20-49,0-50,0-1,35,17,30
12.641255582317195,0.7273707419835058,20-49,50-100,0-1,12,100,22
12.469527181374163,0.31129669024027,20-49,50-100,0-1,12,79,28
-4.962227126842169,-6.012015484745605,20-49,50-100,1-2,-1,58,32
5.062758990827608,-14.523218239910383,20-49,50-100,0-1,2,62,21
3.4077263672495413,-2.815715538894231,20-49,100-250,0-1,23,204,43
6.49331014868882,2.891880033525521,400-499,250-500,0-1,7,494,408
2.0832009854010978,1.7015577052845254,50-99,250-500,0-1,11,276,54
-5.466651134873948,4.079087640570087,20-49,100-250,0-1,30,170,36
-13.803935632723936,-6.046767345450329,,50-100,0-1,4,93,20
-2.6123570490395536,15.058195891866815,,,0-1,0,0,20
2.8629740522844926,-9.097285969655156,20-49,50-100,0-1,-1,57,31
-13.33234993273065,4.35392314041595,20-49,250-500,0-1,8,266,39
1.9282687537656742,-6.499779652413099,50-99,250-500,0-1,24,270,54
5.251438038962459,-4.35249353501462,,250-500,0-1,-1,269,20
-4.005697617261802,14.08131254417912,20-49,,0-1,0,0,32
-13.041929708397376,-6.29264478558218,20-49,50-100,0-1,4,75,24
-9.127222087411464,-11.178467894160654,20-49,100-250,,6,138,38
3.034302465555974,6.627650179073301,20-49,0-50,0-1,20,1,44
-6.114313275828322,-2.8937622127834595,20-49,0-50,,-1,9,30
-7.270622594313714,-13.782381301448192,300-399,100-250,0-1,5,191,318
2.2870391956726497,10.452674520354941,20-49,0-50,,10,1,27
5.116175475397054,-8.917723519735944,20-49,50-100,0-1,31,73,30
-1.8306074423075298,8.161403637264447,300-399,0-50,1-2,19,11,317
-0.653755818541573,-2.3844218451935038,20-49,0-50,,-1,44,25
2.2392780596741337,9.931228692971327,20-49,0-50,0-1,10,5,45
-7.770747298154692,-13.97431904096599,1000-5999,100-250,1-2,5,193,1020
-7.424636687570784,6.880553035225424,,250-500,,14,254,20
-11.051951237230305,-4.377772309055824,20-49,0-50,0-1,4,47,24
-0.9804362164868806,8.695349039622679,20-49,0-50,1-2,10,4,45
-3.058354780508163,7.096931360448434,50-99,0-50,2-3,19,36,90
-11.768767341335517,-7.787416209027766,100-299,100-250,0-1,4,159,290
-14.074425375748312,4.016498621640045,20-49,250-500,0-1,-1,262,27
-9.93415692117678,-3.096071942075843,20-49,50-100,0-1,-1,60,24
-11.4821950587081,4.8648485669536035,20-49,50-100,,-1,86,34
10.566247093580659,-8.54763858330256,100-299,100-250,,32,190,246
1.972334530447814,8.90572637435365,20-49,0-50,,10,1,22
6.751127376770329,-1.020674399139837,20-49,100-250,0-1,-1,101,28
1.5466993234049276,10.150992171237842,20-49,0-50,,10,4,25
4.525508172671516,-10.500558005064285,50-99,0-50,0-1,2,47,64
-2.213643375713989,-0.7870876076069313,50-99,0-50,,-1,10,68
-1.3282883266957828,-8.058331790209856,,0-50,0-1,24,27,8
5.9987204700492125,-13.188552525849735,20-49,100-250,0-1,2,107,30
1.3427947372914464,-7.489990304955147,20-49,100-250,0-1,24,160,25
13.817195776714449,2.1333297672001486,50-99,100-250,,12,112,89
-12.673527750957874,-2.4919615043321848,20-49,0-50,0-1,-1,16,26
1.1902431500207704,7.3185211610519945,100-299,0-50,,-1,7,110
1.6540502780563047,-7.167035854293883,20-49,100-250,0-1,24,245,24
-6.684870112630699,8.116249369170772,20-49,250-500,,14,254,22
1.8646390600856648,-6.447693545185718,20-49,100-250,1-2,24,233,40
3.3670867388235983,-13.51073030890007,20-49,100-250,,2,123,28
-14.85626953737604,-4.34692130205966,50-99,100-250,0-1,-1,105,56
-11.591853840608616,-9.313206317491641,20-49,100-250,0-1,-1,243,28
-0.15663043804056165,-8.36396016677296,,100-250,0-1,24,165,20
0.7000568327131717,10.279919049752097,500-999,0-50,1-2,10,1,537
-9.342818029698503,-11.405846193075211,,100-250,,6,120,20
-0.8512899182685155,8.519712387155991,20-49,0-50,0-1,10,3,29
3.567348968667685,-9.495315795329212,50-99,50-100,0-1,-1,70,67
-9.191647928681306,-8.07341714760284,100-299,100-250,,33,157,177
-1.1300898751398232,-8.059640934691245,,100-250,0-1,24,136,20
6.003920872898802,-13.500838483325559,20-49,50-100,,2,94,21
-10.982823412419146,-3.063253603364872,20-49,50-100,0-1,4,68,23
-9.709957982177356,-6.784932358998878,,100-250,,-1,119,20
-2.8269871253571535,-0.25335823158483284,20-49,0-50,0-1,51,45,29
-9.209346745820383,-6.004246699335134,,100-250,0-1,34,193,20
-9.383209262869665,-6.216127076745363,20-49,100-250,,34,171,26
-10.10432509436706,-6.898971784426577,20-49,50-100,0-1,-1,88,28
9.197490807539129,-3.695632429173084,100-299,50-100,,-1,96,120
-4.8302735072765195,-8.814032430403788,20-49,0-50,0-1,64,22,35
-4.152995843391184,0.34183286715189903,50-99,0-50,,26,7,85
2.878528472220605,9.168985883448283,20-49,0-50,0-1,10,1,34
-11.848330242461138,-4.152283090272445,50-99,50-100,0-1,4,61,80
1.4487885270251029,5.864654988707403,500-999,50-100,1-2,35,65,712
2.4870481036688035,-4.739571182581883,20-49,100-250,,24,121,33
-12.13962065770912,-5.092646418187065,20-49,100-250,0-1,4,111,21
-3.3579024185206534,-3.3103762508268666,300-399,100-250,1-2,-1,153,316
10.193178296991382,-2.5160808899136287,300-399,250-500,2-3,-1,328,325
0.9818066521617924,2.4084091190871044,20-49,250-500,0-1,21,331,32
1.2555771144199397,2.232836195921802,20-49,250-500,,21,253,37
13.41633058066258,-1.2129410654017991,20-49,100-250,0-1,12,139,27
4.161132675565867,-12.506327695500778,20-49,100-250,0-1,2,123,34
-0.6182006293256178,9.695979574137475,100-299,0-50,1-2,9,6,224
-6.726851414092933,8.341740671233543,20-49,250-500,,14,350,22
5.661785578415495,-12.937978087455516,20-49,50-100,0-1,2,99,27
1.0011293863629676,-5.291091988392151,20-49,50-100,0-1,24,97,40
4.119149038505963,-9.059457153565324,50-99,0-50,0-1,31,37,51
-8.610124751029383,-2.3336604076325207,50-99,0-50,0-1,18,34,52
-8.61575186611179,-2.326292261196569,50-99,0-50,0-1,18,34,52
0.9249950865264722,-7.7807440142555855,,100-250,0-1,24,239,20
11.424226946430506,3.4937593529598625,1000-5999,250-500,4-5,36,290,2280
-3.64833850685428,15.604350728527722,20-49,,,0,0,28
-11.068646546559629,4.975045767246407,100-299,100-250,0-1,-1,170,243
1.961587798890146,6.025115264573367,100-299,0-50,0-1,20,18,257
2.549348565568717,8.356127105722193,20-49,0-50,0-1,10,1,32
-7.042314220610314,-8.88611977734136,50-99,0-50,0-1,-1,4,75
-1.56767421064228,-11.087834733559268,20-49,50-100,0-1,-1,55,22
-8.74588941749647,-11.342580987250754,20-49,100-250,,6,132,40
1.8370243129350234,-14.056214354604254,,50-100,0-1,37,73,20
1.6775697985452294,-2.132701049251509,20-49,100-250,0-1,-1,155,48
1.25170569950954,-2.1402132748996165,20-49,50-100,0-1,-1,88,50
13.735627794764806,3.1844499420037105,300-399,100-250,,63,206,332
13.731443870724164,3.187067414398666,300-399,100-250,,63,211,337
5.512252601853657,-14.663501659736744,20-49,50-100,,2,96,23
-2.184241649437056,-0.7688494481776709,20-49,50-100,,-1,58,37
0.8128287953602766,-6.563854955913294,20-49,100-250,0-1,24,143,21
-2.226332602027154,13.835430461256067,100-299,,0-1,0,0,108
-6.782208933457135,7.09222467452182,20-49,250-500,,14,325,25
-3.6148305793061972,15.60934059997563,100-299,,1-2,0,0,131
-14.535160251716501,-6.433888786582179,20-49,100-250,0-1,4,113,26
-9.93642906523036,-1.036881663590835,300-399,100-250,1-2,-1,103,326
7.254077501326824,0.46913066034205697,300-399,500-1000,0-1,38,529,333
-4.049786704527226,14.918608905958214,20-49,,0-1,0,0,28
5.555707632027092,-12.51713042130994,20-49,50-100,0-1,2,87,27
-1.0539753799377731,-8.871562284448814,20-49,50-100,0-1,-1,85,21
-3.0005696345830497,6.857866422794933,20-49,0-50,1-2,19,25,37
2.9968655482031488,-2.8163361869613497,20-49,100-250,0-1,23,123,28
-5.889499515145555,8.707904320141873,100-299,100-250,,14,209,104
6.447073928789351,-10.032694867434296,20-49,50-100,1-2,-1,60,27
-8.829946570700491,-5.999988276991601,50-99,100-250,0-1,34,113,93
-5.508236128731623,-0.2447920746649001,300-399,50-100,0-1,22,94,350
-7.099150803373635,-14.24603907348915,500-999,100-250,1-2,5,163,986
-11.558244275994246,-2.994662568286868,20-49,50-100,0-1,4,86,23
-4.29702354320267,13.834731062976102,20-49,,0-1,0,0,24
1.9926100284301222,-7.0501956678392546,20-49,250-500,0-1,24,297,28
1.777024336634461,-5.899968922347224,20-49,100-250,0-1,24,220,48
-8.308687480560215,-6.058894992541156,,100-250,0-1,34,120,20
-8.896412226537072,-5.901101233412758,20-49,100-250,0-1,34,122,21
0.32406934742142374,-9.801287469190274,,50-100,0-1,-1,68,20
-13.29461855013249,3.50422984714406,100-299,250-500,1-2,8,407,294
-7.938456390757446,8.86317741520389,20-49,100-250,,14,132,30
-4.542817860672502,13.533007329642574,20-49,,,0,0,29
-6.739300016768807,6.962533269527509,50-99,100-250,0-1,14,122,90
3.0190400503682495,9.409311368985582,20-49,0-50,0-1,10,1,41
-0.46454870595371384,-3.6192470029573083,20-49,100-250,0-1,39,204,32
6.485057722143905,-11.148477172537525,20-49,50-100,0-1,2,96,32
-7.556573703795181,-10.472574184640132,20-49,100-250,0-1,6,116,24
-0.4233869188830773,-3.6229889947121534,20-49,100-250,0-1,39,216,24
-0.6368567674467659,9.498045315212012,100-299,0-50,,9,3,200
14.08978782307264,1.6589197249749272,20-49,100-250,,12,168,24
5.793243989113409,13.353798663582712,6000+,100-250,20-50,-1,244,13262
-0.08541950175319388,-6.330257671278444,,100-250,0-1,60,184,20
-3.7011773983748624,-6.235821764211789,50-99,100-250,0-1,-1,120,60
1.0623128425521278,7.896952068991296,20-49,0-50,0-1,10,8,21
-5.497508128470564,-0.46776189023782855,100-299,0-50,0-1,22,11,195
12.12859589060024,0.1767938684643391,20-49,0-50,,12,26,30
-12.289512312817633,-2.881602938336908,,100-250,0-1,-1,105,20
13.103337901389727,-0.727803139567716,20-49,50-100,0-1,12,84,22
2.120606824933338,-5.47986376324306,20-49,100-250,0-1,24,142,38
-8.820449403080932,-11.302823267442541,20-49,100-250,,6,112,24
1.230339961191628,15.296231187227221,50-99,,0-1,28,0,55
14.699083114556805,2.346901326460166,20-49,100-250,0-1,12,113,21
-0.5300794847833826,-7.175017695339614,20-49,100-250,0-1,-1,136,28
-11.461038304405792,-2.586918796088228,20-49,50-100,0-1,4,93,48
-13.380404606457212,4.170512450309594,20-49,250-500,0-1,8,297,32
-2.3602044058844505,7.291188562405165,100-299,0-50,,19,48,161
-14.661162285945826,-3.0221874768193597,50-99,0-50,0-1,-1,46,66
-7.583295013090338,-5.453271536641,20-49,100-250,0-1,34,131,22
-5.171585152633223,-1.2811342825386154,50-99,0-50,,22,1,58
-2.2545925752236258,-6.515924873712927,20-49,50-100,0-1,27,51,32
7.963801834705871,0.7890642786394235,300-399,250-500,1-2,38,335,353
2.2502945499456035,9.040459909026511,20-49,0-50,0-1,10,1,24
-4.730449686673156,-5.315572732646409,20-49,50-100,1-2,-1,89,24
-7.810590432459211,-5.376496164925176,,50-100,0-1,34,73,20
12.567567564465428,1.5151215017169875,20-49,100-250,,12,132,44
7.673646941710072,6.781228719055186,1000-5999,500-1000,10-20,1,574,3276
-4.433734739123084,14.890053863681713,50-99,,0-1,0,0,95
-4.290885305657422,2.3745628662689593,1000-5999,,3-4,-1,0,2572
-0.9221242295916942,12.7356441440611,100-299,,5-10,40,0,192
1.5152644083760203,-2.2910722223274402,20-49,0-50,0-1,-1,18,28
-8.734689960413888,-0.911344553840407,50-99,50-100,0-1,18,62,56
-11.281671770483378,-2.454983948060176,20-49,50-100,0-1,4,85,21
3.4153589116305283,-13.366112942755205,20-49,100-250,0-1,2,141,24
-7.388180356913086,6.874829044754283,20-49,250-500,0-1,14,255,25
0.63425703606162,10.012042228574645,400-499,0-50,1-2,10,3,410
12.17190994640031,-0.10489034873725918,20-49,50-100,,12,53,22
4.814961437080639,-13.200408198633784,20-49,50-100,0-1,2,95,36
6.917947194388263,4.053230676400183,300-399,250-500,0-1,7,476,331
-13.226320912822803,-9.299400993524598,20-49,100-250,,-1,143,24
-11.13748632327084,-3.0533159447566396,20-49,50-100,0-1,4,61,36
-7.742783076187631,-9.452550612094901,20-49,100-250,,-1,114,44
-2.101804282647219,15.455691033690309,20-49,,0-1,0,0,30
-2.2819780580352433,15.063523029749366,20-49,,1-2,0,0,36
3.805918905600351,-12.222748698093861,20-49,100-250,0-1,2,133,24
5.57446395889202,-11.302791185307342,50-99,50-100,0-1,2,96,54
-5.877448402518426,-2.4892827885858053,20-49,0-50,,-1,12,28
1.008153915929349,-9.079307153699176,20-49,100-250,0-1,-1,147,46
-6.6122817274717365,-8.498301117836363,,50-100,0-1,-1,59,20
11.8437404976763,-0.243816018502461,20-49,50-100,0-1,-1,55,22
-12.471142654328112,-4.90740216519339,20-49,100-250,0-1,4,111,21
-2.367910992598419,7.651122119918564,100-299,0-50,0-1,19,17,282
-11.351056369042597,-3.339485185630079,20-49,100-250,0-1,4,107,45
-8.434945303582184,-1.4361800134771046,50-99,0-50,0-1,18,50,71
5.157400703394337,-1.3776285349204207,100-299,50-100,0-1,41,86,156
-2.2467283368434168,4.0417469037457545,20-49,0-50,0-1,-1,6,48
-2.790333217495226,11.212931342480578,300-399,0-50,4-5,-1,49,364
4.618647014589719,7.493054167159443,20-49,0-50,0-1,43,1,23
-2.4215817127086945,15.329632751912815,20-49,,0-1,0,0,42
2.4276201544726264,-2.557625518246529,20-49,100-250,0-1,23,224,23
-4.034629659351381,-6.637801499496766,,100-250,,-1,127,20
3.8434992809074324,8.56898829217219,20-49,0-50,0-1,43,1,35
-13.228054716317589,-1.5769824399035002,300-399,100-250,0-1,-1,165,306
-9.16519315348668,-7.940454875695115,300-399,100-250,0-1,33,169,304
-11.508441064918488,3.7340195921126202,50-99,0-50,0-1,-1,4,56
-0.12878744805019443,14.777984821680457,400-499,,10-20,28,0,423
8.990454124341573,-4.627156575487233,500-999,100-250,0-1,16,239,722
-5.376606826571819,-1.3738917770427936,20-49,0-50,0-1,22,4,37
3.881102437766108,-3.1090463348865347,20-49,100-250,0-1,23,225,38
-5.5075150961778,-0.5904003023223989,50-99,0-50,0-1,22,5,83
-1.873212612260138,-0.4177089649792734,20-49,0-50,0-1,-1,22,26
7.443475254517929,0.34338500184111015,300-399,250-500,0-1,38,389,321
-13.641070398507631,-4.888343949886119,20-49,100-250,0-1,4,120,26
5.539757966186599,-11.083302976774291,50-99,0-50,0-1,2,34,96
5.4017614193625585,-12.408201509550501,20-49,100-250,0-1,2,152,38
-7.40418300749608,8.204125025816795,20-49,250-500,0-1,14,279,24
-5.503362581445565,5.453769115982282,500-999,250-500,0-1,30,406,658
1.1106542287770178,-7.316886242504018,,100-250,0-1,24,165,20
-0.23103182562028116,6.042598110521483,100-299,0-50,0-1,35,5,132
-4.2406472263023565,-11.72933350084028,20-49,0-50,,-1,6,47
-12.122035399344599,-4.949980985630808,,50-100,0-1,4,100,20
-4.55327609861531,-5.048148778573717,400-499,0-50,5-10,-1,2,464
8.568319235689557,-2.7656465761982663,20-49,0-50,0-1,-1,23,39
-4.396496732342622,0.1610362554161504,20-49,0-50,,26,7,27
4.058543477722706,-8.19085209931476,50-99,0-50,2-3,31,24,71
-4.843664710811166,-8.865768193958354,50-99,0-50,1-2,64,34,63
-11.986659518219604,4.825016485985457,50-99,100-250,,-1,124,66
-8.807930822820678,-0.7339028044477861,50-99,0-50,1-2,18,33,84
2.2085752221806723,8.399593726412927,20-49,0-50,,10,1,42
-10.19984867138288,5.330914296371828,1000-5999,0-50,0-1,29,1,1067
-12.431008051100896,-0.2436441337027271,500-999,50-100,0-1,25,56,984
-2.8262971103599748,11.563131828208679,100-299,,0-1,-1,0,273
-0.7061692636938598,-0.27324516352956424,20-49,50-100,,-1,78,36
-0.6992646412097904,-8.202715783965646,,50-100,0-1,24,65,20
-1.279711550002683,14.124708444567185,50-99,,0-1,0,0,58
-6.217542122715311,-9.932942979033637,50-99,50-100,1-2,6,80,64
2.573806501919666,6.444874739723263,300-399,0-50,1-2,20,9,306
-9.614904148449272,1.1947966451549215,1000-5999,250-500,4-5,13,271,2049
-6.494072158360893,-6.454255392523854,20-49,100-250,0-1,3,105,31
4.605171915540561,-8.851381428677106,20-49,0-50,,31,18,28
-2.24064173420433,15.615145490187754,20-49,,0-1,0,0,25
11.132225721315361,3.4787957287471896,1000-5999,100-250,5-10,36,111,2273
-9.272910572425552,-10.9015101666402,20-49,100-250,0-1,6,162,42
13.15295068345426,1.8164317452766752,,100-250,,12,131,20
-1.653796713980312,14.439508203653466,50-99,,0-1,0,0,62
-8.82958563610241,-10.632596148055205,50-99,50-100,,6,90,72
-6.2682340870524245,-9.753777708946265,20-49,50-100,0-1,6,94,24
-5.68749189210149,8.79552882195464,20-49,100-250,0-1,14,143,25
0.8772278394417441,0.4033173241038498,100-299,100-250,0-1,15,106,118
3.889400529087989,-10.573618915651032,20-49,50-100,0-1,-1,87,38
-3.1732520816958627,-1.2392867981629712,100-299,0-50,0-1,42,16,109
12.983598988901342,1.7863992719614212,20-49,100-250,,12,111,31
-7.299599457071818,-8.961480444487036,100-299,50-100,0-1,-1,81,126
1.898388984902357,6.958342048458438,300-399,0-50,1-2,20,16,340
0.9973216726547832,5.7267220828810474,100-299,0-50,,35,3,105
-1.7044769621392613,13.743382755018573,50-99,,,0,0,60
4.412783259974922,8.900660891735221,20-49,0-50,1-2,43,1,33
2.759567298378714,-2.386281557147906,20-49,100-250,0-1,23,129,38
-11.957351720677732,-5.586034100219612,20-49,100-250,0-1,4,104,27
-1.2189159100937241,7.4860014185375165,20-49,0-50,0-1,-1,14,30
-7.993589733209433,8.082733012130749,50-99,0-50,0-1,14,50,74
-4.7869092602661985,-0.5908602733501739,100-299,50-100,0-1,-1,59,289
14.081739423982285,1.7579151682195202,,100-250,,12,117,20
-5.549803866434797,4.775096811466972,50-99,250-500,,30,282,66
-9.331414838803935,-11.342531567776783,20-49,100-250,,6,113,21
13.000704623812412,-0.7562876078005019,50-99,50-100,0-1,12,100,55
-3.4244442495250245,14.537705394417573,20-49,,0-1,0,0,21
-5.202619635223765,-0.9502443008346829,400-499,50-100,0-1,22,55,489
11.198439291678039,-1.4251661512849725,50-99,50-100,0-1,-1,72,56
